accuracy_score;cost_per_task_cents;task_complexity;execution_time_seconds;;;
0.6455;0.0106;5;22.42;;;
0.566;0.0068;6;9.3;;;
0.8395;0.0053;2;10.37;;;
0.4888;0.0195;8;43.85;;;
0.7137;0.0105;3;23.02;;;
0.5315;0.0071;5;11.04;;;
0.728;0.0082;4;14.93;;;
0.4;0.0213;8;48.55;;;
0.4148;0.046;8;122.3;;;
0.5161;0.0209;7;47.62;;;
0.6209;0.0151;5;35.85;;;
0.693;0.0157;3;39.15;;;
0.7148;0.0168;4;39.81;;;
0.5894;0.0172;5;42.46;;;
0.5009;0.0379;8;99.87;;;
0.7266;0.0109;3;23.68;;;
0.5681;0.0098;7;15.99;;;
0.7492;0.0151;3;36.22;;;
0.455;0.0347;7;91.31;;;
0.6743;0.0232;5;58.69;;;
0.5883;0.0074;5;11.45;;;
0.5763;0.0219;7;53.2;;;
0.4806;0.0313;8;78.8;;;
0.4;0.0105;9;16.14;;;
0.5895;0.0204;5;49.63;;;
0.5183;0.0317;7;80.06;;;
0.7011;0.0115;3;26.63;;;
0.431;0.0147;7;30.77;;;
0.4078;0.0367;8;94.99;;;
0.4029;0.0437;9;114.32;;;
0.6417;0.0053;5;5.66;;;
0.4139;0.0106;8;16.07;;;
0.4684;0.0216;8;50.96;;;
0.7183;0.0134;4;30.72;;;
0.4143;0.0242;8;57.68;;;
0.4915;0.0356;8;90.17;;;
0.5349;0.0214;6;51.71;;;
0.614;0.0153;5;35.82;;;
0.7875;0.0094;2;21.24;;;
0.6586;0.0081;4;15.48;;;
0.7113;0.0307;4;82.71;;;
0.4174;0.0244;9;57.43;;;
0.4423;0.028;8;69.26;;;
0.6987;0.0082;4;16.27;;;
0.5088;0.0193;7;45.05;;;
0.4;0.0524;10;138.84;;;
0.6582;0.0088;4;18.26;;;
0.7362;0.0202;3;53.02;;;
0.6832;0.016;4;39.31;;;
0.5781;0.0129;6;26.66;;;
0.4991;0.0412;8;106.91;;;
0.5504;0.0242;6;61.02;;;
0.5908;0.0204;6;49.73;;;
0.5156;0.0405;7;107.92;;;
0.6059;0.0146;6;31.09;;;
0.5061;0.0221;8;50.78;;;
0.5447;0.0142;6;28;;;
0.5903;0.0203;5;51.92;;;
0.6647;0.0133;4;29.03;;;
0.4;0.0251;9;58.02;;;
0.6098;0.0099;6;16.46;;;
0.6609;0.0146;4;34.02;;;
0.4253;0.0376;8;98.28;;;
0.8278;0.0093;3;20.93;;;
0.724;0.0141;3;33.35;;;
0.8208;0.0139;3;32.87;;;
0.5786;0.0084;7;11.26;;;
0.4688;0.0107;8;17.94;;;
0.5077;0.0237;8;56.33;;;
0.7638;0.0203;3;52.89;;;
0.4753;0.0335;7;87.04;;;
0.6604;0.0273;5;70.31;;;
0.5289;0.0166;7;36.53;;;
0.5723;0.0062;6;7.39;;;
0.6853;0.0124;4;29.57;;;
0.4322;0.0182;8;37.44;;;
0.4266;0.0422;9;111.41;;;
0.6434;0.0139;5;31.17;;;
0.4645;0.0243;7;59.93;;;
0.666;0.0294;4;79.21;;;
0.7104;0.0286;4;76.75;;;
0.6575;0.0325;4;89.27;;;
0.5392;0.0238;7;58.17;;;
0.6622;0.0116;4;25.18;;;
0.4697;0.0191;8;43.79;;;
0.5931;0.0293;6;75.72;;;
0.5603;0.0147;6;32.88;;;
0.7474;0.0117;3;28.9;;;
0.4412;0.0211;8;48.55;;;
0.4567;0.0283;8;69.77;;;
0.504;0.0142;7;29.33;;;
0.8442;0.011;2;26.66;;;
0.4;0.0331;10;79.02;;;
0.6849;0.0164;5;37.9;;;
0.6691;0.01;5;18.4;;;
0.6928;0.0222;4;59.3;;;
0.7578;0.0111;4;24.67;;;
0.4113;0.0266;8;63.59;;;
0.6993;0.0355;4;96.25;;;
0.4303;0.0119;8;20.42;;;
0.585;0.0217;5;53.66;;;
0.8092;0.0073;3;14.43;;;
0.7603;0.0075;2;17.45;;;
0.6126;0.016;5;38.18;;;
0.4164;0.0434;10;112.24;;;
0.7102;0.0258;5;67.57;;;
0.5274;0.0368;8;96.14;;;
0.8164;0.0116;2;29.45;;;
0.4899;0.0136;7;26.38;;;
0.547;0.0159;7;34.15;;;
0.7068;0.0157;4;38.4;;;
0.623;0.0106;5;21.48;;;
0.6811;0.0118;4;26.55;;;
0.6003;0.0226;6;56.47;;;
0.6756;0.012;4;25.09;;;
0.4759;0.0262;8;63.96;;;
0.5046;0.0247;6;63.52;;;
0.8227;0.0085;2;20.07;;;
0.5603;0.0331;6;86.31;;;
0.6797;0.0044;4;3.03;;;
0.4981;0.0125;7;23.92;;;
0.7132;0.0125;4;26.84;;;
0.4;0.0124;9;21.8;;;
0.7336;0.0083;3;15.94;;;
0.4896;0.02;7;48.47;;;
0.6915;0.0097;4;20.95;;;
0.7452;0.007;2;15.04;;;
0.7982;0.0092;2;20.54;;;
0.4739;0.0385;9;98.73;;;
0.7865;0.0201;3;53.45;;;
0.582;0.0298;5;80.78;;;
0.677;0.0249;4;64.17;;;
0.5752;0.0117;6;22.45;;;
0.6133;0.0154;5;36.25;;;
0.659;0.0172;5;41.27;;;
0.6936;0.0261;4;70.06;;;
0.4768;0.0123;7;23.29;;;
0.4556;0.0191;8;42.03;;;
0.6755;0.0092;3;20.63;;;
0.5907;0.0164;6;36.22;;;
0.7679;0.0082;2;17.63;;;
0.5082;0.0108;7;19.58;;;
0.6299;0.0266;6;68.09;;;
0.7374;0.0243;4;64.2;;;
0.616;0.0186;6;43.34;;;
0.5319;0.0156;7;31.64;;;
0.7409;0.0112;2;28.25;;;
0.7397;0.0205;3;53.31;;;
0.5199;0.0157;6;35.21;;;
0.6668;0.0074;4;15;;;
0.4;0.0259;10;59;;;
0.5924;0.0213;5;54.04;;;
0.7315;0.0215;4;54.99;;;
0.6771;0.0097;4;19.11;;;
0.7457;0.0293;4;78.59;;;
0.6947;0.0131;4;29.75;;;
0.6606;0.0105;4;23.27;;;
0.818;0.0145;2;36.77;;;
0.5193;0.01;7;16.89;;;
0.4;0.0331;10;81.06;;;
0.5524;0.012;5;24.59;;;
0.4;0.0263;9;62.12;;;
0.5905;0.0154;6;35.77;;;
0.4;0.0235;8;55.57;;;
0.5741;0.0098;6;17.35;;;
0.717;0.0124;4;29.16;;;
0.4525;0.0351;8;90.71;;;
0.5249;0.0109;7;19.85;;;
0.557;0.012;5;24.23;;;
0.4359;0.0267;8;65.71;;;
0.4355;0.038;9;97.66;;;
0.4123;0.0108;9;14.4;;;
0.578;0.0311;7;79.34;;;
0.6675;0.0124;5;26.74;;;
0.553;0.0111;5;23.61;;;
0.5086;0.0264;7;66.35;;;
0.6981;0.009;3;19.86;;;
0.4;0.0288;10;69.41;;;
0.4691;0.014;6;31.37;;;
0.8042;0.0123;2;31.81;;;
0.7961;0.0103;3;22.77;;;
0.6387;0.0071;4;11.97;;;
0.5357;0.0157;7;33.61;;;
0.4;0.0258;10;60.2;;;
